站点编号,时间,出力(MW)
f1,2023-5-1 0:00,6.2506911131031
f1,2023-5-1 0:15,5.913368109321438
f1,2023-5-1 0:30,6.632303237950088
f1,2023-5-1 0:45,6.669418459099743
f1,2023-5-1 1:00,7.279321255093907
f1,2023-5-1 1:15,8.568975533299396
f1,2023-5-1 1:30,8.777405459804111
f1,2023-5-1 1:45,8.486997739771864
f1,2023-5-1 2:00,8.612678720459547
f1,2023-5-1 2:15,7.888317860061884
f1,2023-5-1 2:30,8.263983500112072
f1,2023-5-1 2:45,8.53291485944784
f1,2023-5-1 3:00,8.140972661655166
f1,2023-5-1 3:15,8.332700259025465
f1,2023-5-1 3:30,8.351671992951417
f1,2023-5-1 3:45,8.054768513536978
f1,2023-5-1 4:00,7.610759816149944
f1,2023-5-1 4:15,8.780662267202304
f1,2023-5-1 4:30,8.562685676700323
f1,2023-5-1 4:45,8.781050056051583
f1,2023-5-1 5:00,9.177876315375869
f1,2023-5-1 5:15,9.65039953225222
f1,2023-5-1 5:30,9.442796409360298
f1,2023-5-1 5:45,9.049811942024988
f1,2023-5-1 6:00,8.869479476249378
f1,2023-5-1 6:15,7.824313720269762
f1,2023-5-1 6:30,7.666379911573185
f1,2023-5-1 6:45,8.283043890602066
f1,2023-5-1 7:00,8.618442022599215
f1,2023-5-1 7:15,9.278574821303804
f1,2023-5-1 7:30,9.570552802964265
f1,2023-5-1 7:45,10.575600497208992
f1,2023-5-1 8:00,10.516884928935848
f1,2023-5-1 8:15,10.40622120614433
f1,2023-5-1 8:30,8.916709999115286
f1,2023-5-1 8:45,8.816554689332564
f1,2023-5-1 9:00,9.392235700874494
f1,2023-5-1 9:15,9.805276875723132
f1,2023-5-1 9:30,9.900567467546583
f1,2023-5-1 9:45,9.255819733622241
f1,2023-5-1 10:00,9.547094276402785
f1,2023-5-1 10:15,10.094054816929921
f1,2023-5-1 10:30,9.173514283552812
f1,2023-5-1 10:45,8.932461795814413
f1,2023-5-1 11:00,9.452344372948582
f1,2023-5-1 11:15,10.46414958881785
f1,2023-5-1 11:30,10.236397029982177
f1,2023-5-1 11:45,9.657541789528764
f1,2023-5-1 12:00,9.519749592873808
f1,2023-5-1 12:15,10.195608082995841
f1,2023-5-1 12:30,9.489046263540045
